id,japanese,hiragana,kanji_references,romaji,english,category,jlpt_level,example_japanese,example_english,notes,part_of_speech,part_of_speech_references,frequency,pitch_accent
voc0029,長い,ながい,k0011,nagai,long,description,N5,この道は長いです。,This road is long.,,adjective,,very high,LHHL
voc0030,長さ,ながさ,k0011,nagasa,length,abstract,N5,この橋の長さはどのくらいですか。,What is the length of this bridge?,,noun,,high,LHHL
voc0031,出る,でる,k0012,deru,to go out; to exit,action,N5,家を出る時間です。,It is time to leave the house.,,verb,,very high,LHL
voc0032,出口,でぐち,k0012|k0091,deguchi,exit,place,N5,出口はどこですか。,Where is the exit?,,noun,,very high,LHHL
voc0033,出発,しゅっぱつ,k0012|k0106,shuppatsu,departure,action,N4,出発の時間になりました。,It is time for departure.,,noun,,high,LHHHL
voc0034,三,さん,k0013,san,three,number,N5,三つ買いました。,I bought three.,,noun,,very high,LH
voc0035,三人,さんにん,k0013|k0004,sannin,three people,people,N5,三人で行きました。,Three people went.,,noun,,very high,LHHL
voc0036,時,とき,k0014,toki,time; moment,time,N5,その時、何をしていましたか。,What were you doing at that time?,,noun,,very high,LHL
voc0037,時間,じかん,k0014|k0023,jikan,time; duration,time,N5,時間がありません。,I don't have time.,,noun,,very high,LHHL
voc0038,時々,ときどき,k0014|k0014,tokidoki,sometimes,time,N5,時々映画を見ます。,I sometimes watch movies.,,adverb,,very high,LHHL
voc0039,行く,いく,k0015,iku,to go,action,N5,学校に行きます。,I go to school.,,verb,,very high,LHL
voc0040,行き,いき,k0015,iki,going (direction),action,N5,東京行きの電車はどれですか。,Which train is going to Tokyo?,,noun,,high,LHL
voc0041,見る,みる,k0016,miru,to see; to look,action,N5,テレビを見ます。,I watch television.,,verb,,very high,LHL
voc0042,見せる,みせる,k0016,miseru,to show,action,N5,写真を見せてください。,Please show me the photo.,,verb,,very high,LHHL
voc0043,月,つき,k0017,tsuki,moon; month,time,N5,今月は忙しいです。,This month I am busy.,,noun,,very high,LHL
voc0044,月曜日,げつようび,k0017|k0229|k0001,getsuyoobi,Monday,time,N5,月曜日に会議があります。,There is a meeting on Monday.,,noun,,very high,LHHHHHL
voc0045,今月,こんげつ,k0027|k0017,kongetsu,this month,time,N5,今月末に試験があります。,There is an exam at the end of this month.,,noun,,very high,LHHL
voc0046,分かる,わかる,k0018,wakaru,to understand,abstract,N5,日本語が分かります。,I understand Japanese.,,verb,,very high,LHHL
voc0047,分,ふん,k0018,fun,minute,time,N5,五分後に来てください。,Please come in five minutes.,,noun,,very high,LH
voc0048,十分,じゅうぶん,k0007|k0018,juubun,enough; sufficient,abstract,N5,時間は十分あります。,There is enough time.,,adjective,,very high,LHHL
voc0049,後,あと,k0019,ato,after; later,time,N5,後で電話します。,I will call later.,,noun,,very high,LHL
voc0050,午後,ごご,k0047|k0019,gogo,afternoon; PM,time,N5,午後三時に来てください。,Please come at three in the afternoon.,,noun,,very high,LHH
voc0051,前,まえ,k0020,mae,before; front,time,N5,学校の前で待っています。,I am waiting in front of the school.,,noun,,very high,LHL
voc0052,午前,ごぜん,k0047|k0020,gozen,morning; AM,time,N5,午前中に終わらせます。,I will finish it in the morning.,,noun,,very high,LHH
voc0053,名前,なまえ,k0051|k0020,namae,name,people,N5,お名前は何ですか。,What is your name?,,noun,,very high,LHHL
voc0054,生きる,いきる,k0021,ikiru,to live,life,N5,元気に生きています。,I am living healthily.,,verb,,very high,LHHL
voc0055,学生,がくせい,k0031|k0021,gakusei,student,people,N5,大学の学生です。,I am a university student.,,noun,,very high,LHHL
voc0056,先生,せんせい,k0050|k0021,sensee,teacher,people,N5,先生に質問します。,I will ask the teacher a question.,,noun,,very high,LHHL
voc0057,五,ご,k0022,go,five,number,N5,五つあります。,There are five.,,noun,,very high,LH
voc0058,五月,ごがつ,k0022|k0017,gogatsu,May,time,N5,五月に旅行します。,I will travel in May.,,noun,,very high,LHHL
voc0059,間,あいだ,k0023,aida,between; interval,time,N5,二つの建物の間にあります。,It is between the two buildings.,,noun,,very high,LHHL
voc0060,時間,じかん,k0014|k0023,jikan,time; hours,time,N5,三時間かかります。,It takes three hours.,duplicate entry with different usage,noun,,very high,LHHL
voc0061,上,うえ,k0024,ue,above; up,position,N5,机の上にあります。,It is on top of the desk.,,noun,,very high,LH
voc0062,上手,じょうず,k0024|k0085,jouzu,skilled; good at,description,N5,日本語が上手ですね。,You are good at Japanese.,,adjective,,very high,LHHL
voc0063,東,ひがし,k0025,higashi,east,direction,N5,東の方向に進んでください。,Please go in the eastern direction.,,noun,,very high,LHL
voc0064,東京,とうきょう,k0025|k0119,toukyou,Tokyo,place,N5,東京に住んでいます。,I live in Tokyo.,,noun,,very high,LHHL
voc0065,四,よん,k0026,yon,four,number,N5,四つの部屋があります。,There are four rooms.,,noun,,very high,LH
voc0066,四月,しがつ,k0026|k0017,shigatsu,April,time,N5,四月から新学期が始まります。,The new semester starts in April.,,noun,,very high,LHHL
voc0067,今,いま,k0027,ima,now,time,N5,今何時ですか。,What time is it now?,,noun,,very high,LH
voc0068,今日,きょう,k0027|k0001,kyou,today,time,N5,今日は晴れています。,It is sunny today.,,noun,,very high,LHH
voc0069,今週,こんしゅう,k0027|k0098,konshuu,this week,time,N5,今週末は何をしますか。,What will you do this weekend?,,noun,,very high,LHHL
voc0070,金,かね,k0028,kane,money; gold,money,N5,お金がありません。,I don't have money.,,noun,,very high,LHL
voc0071,金曜日,きんようび,k0028|k0229|k0001,kin'youbi,Friday,time,N5,金曜日に映画を見ます。,I will watch a movie on Friday.,,noun,,very high,LHHHHHL
voc0072,お金,おかね,k0028,okane,money (polite),money,N5,お金を貸してください。,Please lend me money.,,noun,,very high,LHHL
voc0073,九,きゅう,k0029,kyuu,nine,number,N5,九時に起きます。,I wake up at nine o'clock.,,noun,,very high,LHH
voc0074,九月,くがつ,k0029|k0017,kugatsu,September,time,N5,九月は少し涼しいです。,September is a little cool.,,noun,,very high,LHHL
voc0075,入る,はいる,k0030,hairu,to enter,action,N5,部屋に入ります。,I enter the room.,,verb,,very high,LHL
voc0076,入口,いりぐち,k0030|k0091,iriguchi,entrance,place,N5,入口はどこですか。,Where is the entrance?,,noun,,very high,LHHL
voc0077,入学,にゅうがく,k0030|k0031,nyuugaku,school enrollment,education,N5,来年大学に入学します。,I will enroll in university next year.,,noun,,high,LHHL
voc0078,学ぶ,まなぶ,k0031,manabu,to learn; to study,education,N5,日本語を学んでいます。,I am learning Japanese.,,verb,,high,LHHL
voc0079,学校,がっこう,k0031|k0059,gakkoo,school,education,N5,学校まで歩いて行きます。,I walk to school.,,noun,,very high,LHHL
voc0080,高い,たかい,k0032,takai,expensive; tall,description,N5,このレストランは高いです。,This restaurant is expensive.,,adjective,,very high,LHHL
voc0081,高校,こうこう,k0032|k0059,kookoo,high school,education,N5,高校生です。,I am a high school student.,,noun,,very high,LHHL
voc0082,円,えん,k0033,en,yen; circle,money,N5,これは三百円です。,This is three hundred yen.,,noun,,very high,LH
voc0083,円い,まるい,k0033,marui,round; circular,description,N5,月は丸いです。,The moon is round.,also written 丸い,adjective,,high,LHHL
voc0084,子,こ,k0034,ko,child,people,N5,子どもが遊んでいます。,The children are playing.,,noun,,very high,LH
voc0085,子ども,こども,k0034|k0154,kodomo,child; children,people,N5,子どもは学校にいます。,The children are at school.,,noun,,very high,LHHH
voc0086,女の子,おんなのこ,k0045|k0034,onnanoko,girl,people,N5,あの女の子はかわいいです。,That girl is cute.,,noun,,very high,LHHHL
voc0087,外,そと,k0035,soto,outside,position,N5,外は寒いです。,It is cold outside.,,noun,,very high,LHL
voc0088,外国語,がいこくご,k0035|k0003|k0060,gaikokugo,foreign language,language,N5,外国語を話せますか。,Can you speak a foreign language?,,noun,,high,LHHHHH
voc0089,八,はち,k0036,hachi,eight,number,N5,八時に起きます。,I wake up at eight o'clock.,,noun,,very high,LHL
voc0090,八月,はちがつ,k0036|k0017,hachigatsu,August,time,N5,八月は暑いです。,August is hot.,,noun,,very high,LHHL
voc0091,六,ろく,k0037,roku,six,number,N5,六つ選んでください。,Please choose six.,,noun,,very high,LH
voc0092,六月,ろくがつ,k0037|k0017,rokugatsu,June,time,N5,六月は雨が多いです。,There is a lot of rain in June.,,noun,,very high,LHHL
voc0093,下,した,k0038,shita,below; under,position,N5,テーブルの下にあります。,It is under the table.,,noun,,very high,LH
voc0094,下手,へた,k0038|k0085,heta,unskilled; bad at,description,N5,料理が下手です。,I am bad at cooking.,,adjective,,very high,LHL
voc0095,来る,くる,k0039,kuru,to come,action,N5,明日来てください。,Please come tomorrow.,,verb,,very high,LHL
voc0096,来年,らいねん,k0039|k0005,rainen,next year,time,N5,来年日本に行きます。,I will go to Japan next year.,,noun,,very high,LHHL
voc0097,来週,らいしゅう,k0039|k0098,raishuu,next week,time,N5,来週また会いましょう。,Let's meet again next week.,,noun,,very high,LHHL
voc0098,気持ち,きもち,k0040|k0132,kimochi,feeling; mood,feeling,N5,気持ちがいいです。,It feels good.,,noun,,very high,LHHL
voc0099,天気,てんき,k0071|k0040,tenki,weather,nature,N5,天気がいいですね。,The weather is nice, isn't it.,,noun,,very high
voc0100,元気,げんき,k0144|k0040,genki,healthy; energetic,state,N5,元気ですか。,How are you? (Are you well?),,adjective,,very high,LHL
voc0101,小さい,ちいさい,k0041,chiisai,small; little,description,N5,この犬は小さいです。,This dog is small.,,adjective,,very high,LHHHL
voc0102,小学校,しょうがっこう,k0041|k0031|k0059,shougakkoo,elementary school,education,N5,小学校の友達です。,He is a friend from elementary school.,,noun,,very high,LHHHHHL
voc0103,七,なな,k0042,nana,seven,number,N5,七時に出発します。,I depart at seven o'clock.,,noun,,very high,LHL
voc0104,七月,しちがつ,k0042|k0017,shichigatsu,July,time,N5,七月は夏です。,July is summer.,,noun,,very high,LHHL
voc0105,山,やま,k0043,yama,mountain,nature,N5,山に登りたいです。,I want to climb a mountain.,,noun,,very high,LH
voc0106,富士山,ふじさん,k0043,fujisan,Mt. Fuji,nature,N5,富士山は日本一高い山です。,Mt. Fuji is the tallest mountain in Japan.,,noun,,very high,LHHHL
voc0107,話す,はなす,k0044,hanasu,to speak; to talk,action,N5,ゆっくり話してください。,Please speak slowly.,,verb,,very high,LHHL
voc0108,話,はなし,k0044,hanashi,talk; story,language,N5,面白い話を聞きました。,I heard an interesting story.,,noun,,very high,LHL
voc0109,会話,かいわ,k0081|k0044,kaiwa,conversation,language,N4,日本語で会話の練習をします。,I practice conversation in Japanese.,,noun,,very high,LHHL
voc0110,女,おんな,k0045,onna,woman; female,people,N5,あの女の人は先生です。,That woman is a teacher.,,noun,,very high,LHL
voc0111,女性,じょせい,k0045|k0021,josei,woman; female (formal),people,N5,女性のお客様がいらっしゃいます。,There is a female customer.,,noun,,high,LHHL
voc0112,北,きた,k0046,kita,north,direction,N5,北の方向に歩いてください。,Please walk in the northern direction.,,noun,,very high,LHL
voc0113,北海道,ほっかいどう,k0046|k0149|k0090,hokkaidou,Hokkaido,place,N5,北海道は寒いです。,Hokkaido is cold.,,noun,,high,LHHHHHL
voc0114,午前,ごぜん,k0047|k0020,gozen,morning; AM,time,N5,午前十時に始まります。,It starts at ten in the morning.,see voc0052,noun,,very high,LHH
voc0115,午後,ごご,k0047|k0019,gogo,afternoon; PM,time,N5,午後から雨が降ります。,It will rain from the afternoon.,see voc0050,noun,,very high,LHH
voc0116,百,ひゃく,k0048,hyaku,hundred,number,N5,百円のコインです。,It is a hundred-yen coin.,,noun,,very high,LHL
voc0117,三百,さんびゃく,k0013|k0048,sanbyaku,three hundred,number,N5,三百円で買いました。,I bought it for three hundred yen.,,noun,,high,LHHL
voc0118,書く,かく,k0049,kaku,to write,action,N5,手紙を書いています。,I am writing a letter.,,verb,,very high,LHL
voc0119,書道,しょどう,k0049|k0090,shodou,calligraphy,art,N4,書道を習っています。,I am learning calligraphy.,,noun,,medium,LHHL
voc0120,先,さき,k0050,saki,ahead; first,time,N5,先に行ってください。,Please go first.,,noun,,very high,LH
voc0121,先週,せんしゅう,k0050|k0098,senshuu,last week,time,N5,先週東京に行きました。,I went to Tokyo last week.,,noun,,very high,LHHL
voc0122,先生,せんせい,k0050|k0021,sensee,teacher,people,N5,先生はとても親切です。,The teacher is very kind.,see voc0056,noun,,very high,LHHL
voc0123,名前,なまえ,k0051|k0020,namae,name,people,N5,お名前を教えてください。,Please tell me your name.,see voc0053,noun,,very high,LHHL
voc0124,名前,なまえ,k0051,namae,name (alt entry),people,N5,名前を書いてください。,Please write your name.,entry for k0051,noun,,very high,LHHL
voc0125,川,かわ,k0052,kawa,river,nature,N5,川で魚を釣ります。,I fish in the river.,,noun,,very high,LHL
voc0126,千,せん,k0053,sen,thousand,number,N5,千円札はありますか。,Do you have a thousand-yen bill?,,noun,,very high,LH
voc0127,三千,さんぜん,k0013|k0053,sanzen,three thousand,number,N5,三千円かかります。,It costs three thousand yen.,,noun,,high,LHHL
voc0128,水,みず,k0054,mizu,water,nature,N5,水を一杯ください。,Please give me a glass of water.,,noun,,very high,LHL
voc0129,水曜日,すいようび,k0054|k0229|k0001,suiyoobi,Wednesday,time,N5,水曜日は授業があります。,I have class on Wednesday.,,noun,,very high,LHHHHHL
voc0130,半,はん,k0055,han,half,number,N5,三時半に来てください。,Please come at three thirty.,,noun,,very high,LH
voc0131,半分,はんぶん,k0055|k0018,hanbun,half (portion),number,N5,ケーキを半分食べました。,I ate half of the cake.,,noun,,very high,LHHL
voc0132,男,おとこ,k0056,otoko,man; male,people,N5,あの男の人は父です。,That man is my father.,,noun,,very high,LHHL
voc0133,男性,だんせい,k0056|k0021,dansei,man; male (formal),people,N5,男性が二人います。,There are two men.,,noun,,high,LHHL
voc0134,西,にし,k0057,nishi,west,direction,N5,西の空が赤いです。,The western sky is red.,,noun,,very high,LHL
voc0135,関西,かんさい,k0057,kansai,Kansai region,place,N5,関西弁が面白いです。,Kansai dialect is interesting.,,noun,,high,LHHL
voc0136,電気,でんき,k0058|k0040,denki,electricity; light,technology,N5,電気を消してください。,Please turn off the light.,,noun,,very high,LHL
voc0137,電話,でんわ,k0058|k0044,denwa,telephone,technology,N5,電話してください。,Please call me.,,noun,,very high,LHL
voc0138,電車,でんしゃ,k0058|k0065,densha,electric train,object,N5,電車で通勤します。,I commute by train.,,noun,,very high,LHL
voc0139,学校,がっこう,k0031|k0059,gakkoo,school,education,N5,毎日学校に行きます。,I go to school every day.,see voc0079,noun,,very high,LHHL
voc0140,高校,こうこう,k0032|k0059,kookoo,high school,education,N5,高校を卒業しました。,I graduated from high school.,see voc0081,noun,,very high,LHHL
voc0141,語る,かたる,k0060,kataru,to tell; to narrate,language,N5,夢を語ってくれました。,He told me about his dreams.,,verb,,medium,LHHL
voc0142,外国語,がいこくご,k0035|k0003|k0060,gaikokugo,foreign language,language,N5,外国語を話せますか。,Can you speak a foreign language?,see voc0088,noun,,high,LHHHHH
voc0143,土,つち,k0061,tsuchi,soil; earth,nature,N5,庭の土に花を植えます。,I plant flowers in the garden soil.,,noun,,high,LHL
voc0144,土曜日,どようび,k0061|k0229|k0001,doyoobi,Saturday,time,N5,土曜日は休みです。,Saturday is a day off.,,noun,,very high,LHHHHHL
voc0145,木,き,k0062,ki,tree; wood,nature,N5,公園に大きい木があります。,There is a big tree in the park.,,noun,,very high,LH
voc0146,木曜日,もくようび,k0062|k0229|k0001,mokuyoobi,Thursday,time,N5,木曜日に会議があります。,There is a meeting on Thursday.,,noun,,very high,LHHHHHL
voc0147,聞く,きく,k0063,kiku,to hear; to listen; to ask,action,N5,音楽を聞いています。,I am listening to music.,,verb,,very high,LHL
voc0148,聞こえる,きこえる,k0063,kikoeru,to be audible,action,N5,外の音が聞こえます。,I can hear sounds outside.,,verb,,high,LHHHL
voc0149,食べる,たべる,k0064,taberu,to eat,action,N5,毎日ご飯を食べます。,I eat rice every day.,,verb,,very high,LHL
voc0150,食事,しょくじ,k0064|k0104,shokuji,meal; dining,food,N5,食事の時間です。,It is mealtime.,,noun,,very high,LHHL
voc0151,車,くるま,k0065,kuruma,car,object,N5,車で行きます。,I will go by car.,,noun,,very high,LHHL
voc0152,自転車,じてんしゃ,k0105|k0178|k0065,jitensha,bicycle,object,N5,自転車で通学します。,I commute to school by bicycle.,,noun,,very high,LHHHL
voc0153,何,なに,k0066,nani,what,abstract,N5,何が食べたいですか。,What do you want to eat?,,noun,,very high,LH
voc0154,何時,なんじ,k0066|k0014,nanji,what time,time,N5,何時に出発しますか。,What time will you depart?,,noun,,very high,LHHL
voc0155,南,みなみ,k0067,minami,south,direction,N5,南の島に行きたいです。,I want to go to a southern island.,,noun,,very high,LHHL
voc0156,南米,なんべい,k0067|k0048,nanbei,South America,place,N5,南米を旅行したいです。,I want to travel to South America.,,noun,,medium,LHHL
voc0157,万,まん,k0068,man,ten thousand,number,N5,一万円かかります。,It costs ten thousand yen.,,noun,,very high,LH
voc0158,一万,いちまん,k0002|k0068,ichiman,ten thousand,number,N5,一万円を両替してください。,Please exchange ten thousand yen.,,noun,,high,LHHL
voc0159,毎,まい,k0069,mai,every,time,N5,毎朝運動します。,I exercise every morning.,,noun,,very high,LH
voc0160,毎週,まいしゅう,k0069|k0098,maishuu,every week,time,N5,毎週日曜日に掃除します。,I clean every Sunday.,,noun,,very high,LHHL
voc0161,白い,しろい,k0070,shiroi,white,color,N5,雪は白いです。,Snow is white.,,adjective,,very high,LHHL
voc0162,白,しろ,k0070,shiro,white (color),color,N5,白が好きです。,I like white.,,noun,,very high,LHL
voc0163,天気,てんき,k0071|k0040,tenki,weather,nature,N5,明日の天気はどうですか。,What is the weather like tomorrow?,see voc0099,noun,,very high,LHL
voc0164,天井,てんじょう,k0071|k0111,tenjou,ceiling,place,N5,天井が高い部屋です。,It is a room with a high ceiling.,,noun,,medium,LHHL
voc0165,母,はは,k0072,haha,mother,people,N5,母は料理が上手です。,My mother is good at cooking.,,noun,,very high,LHL
voc0166,お母さん,おかあさん,k0072,okaasan,mother (polite),people,N5,お母さんはどこですか。,Where is your mother?,,noun,,very high,LHHHL
voc0167,火,ひ,k0073,hi,fire,nature,N5,火を使うときは注意してください。,Please be careful when using fire.,,noun,,very high,LH
voc0168,火曜日,かようび,k0073|k0229|k0001,kayoobi,Tuesday,time,N5,火曜日に授業があります。,I have class on Tuesday.,,noun,,very high,LHHHHHL
voc0169,右,みぎ,k0074,migi,right (direction),direction,N5,右に曲がってください。,Please turn right.,,noun,,very high,LHL
voc0170,右手,みぎて,k0074|k0085,migite,right hand,body,N5,右手で書きます。,I write with my right hand.,,noun,,high,LHHH
voc0171,読む,よむ,k0075,yomu,to read,action,N5,本を読んでいます。,I am reading a book.,,verb,,very high,LHL
voc0172,読書,どくしょ,k0075|k0049,dokusho,reading (books),action,N5,読書が趣味です。,Reading is my hobby.,,noun,,high,LHHL
voc0173,友達,ともだち,k0076|k0154,tomodachi,friend,people,N5,友達と映画を見ました。,I watched a movie with my friend.,,noun,,very high,LHHL
voc0174,友人,ゆうじん,k0076|k0004,yuujin,friend (formal),people,N5,友人に手紙を書きます。,I write a letter to my friend.,,noun,,high,LHHL
voc0175,左,ひだり,k0077,hidari,left (direction),direction,N5,左に曲がってください。,Please turn left.,,noun,,very high,LHHL
voc0176,左手,ひだりて,k0077|k0085,hidarite,left hand,body,N5,左手にバッグを持っています。,I am carrying a bag in my left hand.,,noun,,high,LHHHL
voc0177,休む,やすむ,k0078,yasumu,to rest; to be absent,action,N5,今日は休みます。,I will rest today.,,verb,,very high,LHHL
voc0178,休日,きゅうじつ,k0078|k0001,kyuujitsu,holiday; day off,time,N5,休日は家でゆっくりします。,On holidays I relax at home.,,noun,,very high,LHHHL
voc0179,父,ちち,k0079,chichi,father,people,N5,父は会社員です。,My father is a company employee.,,noun,,very high,LHL
voc0180,お父さん,おとうさん,k0079,otousan,father (polite),people,N5,お父さんに電話しました。,I called my father.,,noun,,very high,LHHHL
voc0181,雨,あめ,k0080,ame,rain,nature,N5,雨が降っています。,It is raining.,,noun,,very high,LHL
voc0182,雨の日,あめのひ,k0080|k0001,amenohi,rainy day,nature,N5,雨の日は家にいます。,On rainy days I stay home.,,noun,,high,LHHHL
voc0183,会う,あう,k0081,au,to meet,action,N4,友達に会います。,I will meet my friend.,,verb,,very high,LHL
voc0184,会社,かいしゃ,k0081|k0082,kaisha,company,society,N4,会社に勤めています。,I work at a company.,,noun,,very high,LHHL
voc0185,社会,しゃかい,k0082|k0081,shakai,society,society,N4,社会のルールを守ります。,I follow the rules of society.,,noun,,high,LHHL
voc0186,会社員,かいしゃいん,k0081|k0082|k0112,kaishain,company employee,people,N4,会社員として働いています。,I work as a company employee.,,noun,,very high,LHHHL
voc0187,新しい,あたらしい,k0083,atarashii,new,description,N4,新しい本を買いました。,I bought a new book.,,adjective,,very high,LHHHHL
voc0188,新聞,しんぶん,k0083|k0143,shinbun,newspaper,object,N4,毎朝新聞を読みます。,I read the newspaper every morning.,,noun,,very high,LHHL
voc0189,新幹線,しんかんせん,k0083|k0120|k0053,shinkansen,bullet train,object,N4,新幹線で大阪に行きます。,I will go to Osaka by bullet train.,,noun,,very high,LHHHHHL
voc0190,立つ,たつ,k0084,tatsu,to stand,action,N4,立ってください。,Please stand up.,,verb,,very high,LHL
voc0191,役立つ,やくだつ,k0084,yakudatsu,to be useful,abstract,N4,この情報は役立ちます。,This information is useful.,,verb,,high,LHHL
voc0192,手,て,k0085,te,hand,body,N4,手を洗ってください。,Please wash your hands.,,noun,,very high,LH
voc0193,手紙,てがみ,k0085|k0212,tegami,letter (mail),object,N4,手紙を書きます。,I will write a letter.,,noun,,very high,LHHL
voc0194,上手,じょうず,k0024|k0085,jouzu,skilled; good at,description,N4,ピアノが上手ですね。,You are good at piano.,,adjective,,very high,LHHL
voc0195,目,め,k0086,me,eye,body,N4,目が痛いです。,My eyes hurt.,,noun,,very high,LH
voc0196,目的,もくてき,k0086|k0159,mokuteki,purpose; goal,abstract,N4,旅行の目的は何ですか。,What is the purpose of your trip?,,noun,,high,LHHHL
voc0197,言う,いう,k0087,iu,to say,language,N4,何と言いましたか。,What did you say?,,verb,,very high,LHL
voc0198,言葉,ことば,k0087|k0062,kotoba,word; language,language,N4,優しい言葉をかけてくれました。,He said kind words to me.,,noun,,very high,LHHL
voc0199,多い,おおい,k0088,ooi,many; much,quantity,N4,宿題が多いです。,There is a lot of homework.,,adjective,,very high,LHH
voc0200,多分,たぶん,k0088|k0018,tabun,probably; perhaps,abstract,N4,多分大丈夫です。,It is probably fine.,,adverb,,very high,LHL
voc0201,安い,やすい,k0089,yasui,cheap; inexpensive,description,N4,このお店は安いです。,This shop is cheap.,,adjective,,very high,LHHL
voc0202,安心,あんしん,k0089|k0140,anshin,peace of mind,feeling,N4,安心してください。,Please don't worry.,,noun,,very high,LHHL
voc0203,道,みち,k0090,michi,road; way,place,N4,この道はどこに続きますか。,Where does this road lead?,,noun,,very high,LHL
voc0204,道路,どうろ,k0090|k0171,douro,road; highway,place,N4,道路工事で渋滞しています。,There is a traffic jam due to road construction.,,noun,,high,LHHL
voc0205,口,くち,k0091,kuchi,mouth,body,N4,口を開けてください。,Please open your mouth.,,noun,,very high,LHL
voc0206,入口,いりぐち,k0030|k0091,iriguchi,entrance,place,N4,入口で待っています。,I am waiting at the entrance.,,noun,,very high,LHHL
voc0207,少ない,すくない,k0092,sukunai,few; scarce,quantity,N4,時間が少ないです。,There is little time.,,adjective,,very high,LHHHL
voc0208,少し,すこし,k0092,sukoshi,a little; a bit,quantity,N4,少し待ってください。,Please wait a little.,,adverb,,very high,LHHL
voc0209,空,そら,k0093,sora,sky,nature,N4,空が青いです。,The sky is blue.,,noun,,very high,LH
voc0210,空港,くうこう,k0093|k0110,kuukou,airport,place,N4,空港まで送ってください。,Please take me to the airport.,,noun,,very high,LHHL
voc0211,足,あし,k0094,ashi,foot; leg,body,N4,足が痛いです。,My leg hurts.,,noun,,very high,LHL
voc0212,足りる,たりる,k0094,tariru,to be sufficient,abstract,N4,お金が足りません。,There is not enough money.,,verb,,high,LHHL
voc0213,店,みせ,k0095,mise,shop; store,place,N4,あの店でよく買い物します。,I often shop at that store.,,noun,,very high,LHL
